medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
000318C2E3E6381580E5C99910A60668,1A05759AE547231C9B478F9A30AB3A01,VTS,1/13/2013 4:41,CRD,15,0.5,0.5,4.65,0,20.65
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 10:31,CRD,10.5,0,0.5,2.1,0,13.1
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 9:45,CSH,3,0,0.5,0,0,3.5
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 11:10,CSH,18,0,0.5,0,0,18.5
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 12:11,CRD,10.5,0,0.5,2.1,0,13.1
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 10:05,CSH,7.5,0,0.5,0,0,8
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 10:56,CRD,7.5,0,0.5,1,0,9
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 12:39,CRD,8,0,0.5,1.6,0,10.1
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 12:51,CRD,9.5,0,0.5,1.9,0,11.9
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 11:37,CRD,6,0,0.5,2.5,0,9
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 11:52,CRD,6,0,0.5,1.5,0,8
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 10:47,CRD,5.5,0,0.5,1,0,7
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 9:56,CSH,8,0,0.5,0,0,8.5
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 13:08,CRD,8,0,0.5,2,0,10.5
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 12:24,CRD,11,0,0.5,1.5,0,13
000318C2E3E6381580E5C99910A60668,8228633DA66E2F04F7E51CCA7BD544D3,VTS,1/13/2013 14:14,CSH,12.5,0,0.5,0,0,13
002B4CFC5B8920A87065FC131F9732D1,DD63AD6504C4A40A301AEE0C5CE41C28,VTS,1/13/2013 6:43,CSH,14.5,0,0.5,0,0,15
002B4CFC5B8920A87065FC131F9732D1,DD63AD6504C4A40A301AEE0C5CE41C28,VTS,1/13/2013 4:35,CSH,13.5,0.5,0.5,0,0,14.5
002B4CFC5B8920A87065FC131F9732D1,65938970D001F7280B2DDF268EA81D2D,VTS,1/13/2013 13:57,CRD,10.5,0,0.5,1.5,0,12.5
002B4CFC5B8920A87065FC131F9732D1,65938970D001F7280B2DDF268EA81D2D,VTS,1/13/2013 14:50,CRD,7,0,0.5,1.4,0,8.9
002E3B405B6ABEA23B6305D3766140F1,D21C217C79D8E1E277865526DA2B4AEF,VTS,1/13/2013 4:05,CRD,23,0.5,0.5,2,0,26
002E3B405B6ABEA23B6305D3766140F1,D21C217C79D8E1E277865526DA2B4AEF,VTS,1/13/2013 3:32,CRD,9,0.5,0.5,1.9,0,11.9
002E3B405B6ABEA23B6305D3766140F1,D21C217C79D8E1E277865526DA2B4AEF,VTS,1/13/2013 4:43,CRD,9,0.5,0.5,0,0,10
002E3B405B6ABEA23B6305D3766140F1,186DB365E8D766C782943391708FF87B,VTS,1/13/2013 13:22,CRD,9.5,0,0.5,2.85,0,12.85
002E3B405B6ABEA23B6305D3766140F1,186DB365E8D766C782943391708FF87B,VTS,1/13/2013 12:59,CRD,11.5,0,0.5,2.88,0,14.88
002E3B405B6ABEA23B6305D3766140F1,186DB365E8D766C782943391708FF87B,VTS,1/13/2013 12:11,CRD,52,0,0.5,10.4,4.8,67.7
0030AD2648D81EE87796445DB61FCF20,C87F7E83E6032DB2B254EF24734FC4ED,VTS,1/13/2013 2:58,CRD,9,0.5,0.5,0.5,0,10.5
0030AD2648D81EE87796445DB61FCF20,C87F7E83E6032DB2B254EF24734FC4ED,VTS,1/13/2013 3:19,CRD,19,0.5,0.5,3.9,0,23.9
0035520A854E4F2769B37DAF5357426F,EE7C4D47A657A318B4AA8C3F4FE8ABF0,VTS,1/13/2013 10:29,CRD,14.5,0,0.5,2.9,0,17.9
0035520A854E4F2769B37DAF5357426F,EE7C4D47A657A318B4AA8C3F4FE8ABF0,VTS,1/13/2013 12:09,CSH,28.5,0,0.5,0,0,29
0035520A854E4F2769B37DAF5357426F,E781AAB8EC1B781E13342AA816736318,VTS,1/13/2013 3:31,CRD,8,0.5,0.5,0,0,9
0035520A854E4F2769B37DAF5357426F,EE7C4D47A657A318B4AA8C3F4FE8ABF0,VTS,1/13/2013 10:05,CSH,7.5,0,0.5,0,0,8
0035520A854E4F2769B37DAF5357426F,EE7C4D47A657A318B4AA8C3F4FE8ABF0,VTS,1/13/2013 12:56,CSH,7.5,0,0.5,0,0,8
0035520A854E4F2769B37DAF5357426F,EE7C4D47A657A318B4AA8C3F4FE8ABF0,VTS,1/13/2013 14:11,CSH,6,0,0.5,0,0,6.5
0035520A854E4F2769B37DAF5357426F,EE7C4D47A657A318B4AA8C3F4FE8ABF0,VTS,1/13/2013 13:07,CRD,6.5,0,0.5,1,0,8
0036961468659D0BFC7241D92E8ED865,3F37214FD4A6E12FA343177EE47E5762,VTS,1/13/2013 4:22,CSH,12,0.5,0.5,0,0,13
0036961468659D0BFC7241D92E8ED865,81CC8B6AF6BB10FD816487AC556880F6,VTS,1/13/2013 10:34,CSH,9,0,0.5,0,0,9.5
0036961468659D0BFC7241D92E8ED865,81CC8B6AF6BB10FD816487AC556880F6,VTS,1/13/2013 9:46,CSH,13,0,0.5,0,0,13.5
0036961468659D0BFC7241D92E8ED865,81CC8B6AF6BB10FD816487AC556880F6,VTS,1/13/2013 10:43,CRD,5,0,0.5,1.25,0,6.75
0036961468659D0BFC7241D92E8ED865,81CC8B6AF6BB10FD816487AC556880F6,VTS,1/13/2013 10:48,CRD,12.5,0,0.5,1.85,0,14.85
0036961468659D0BFC7241D92E8ED865,81CC8B6AF6BB10FD816487AC556880F6,VTS,1/13/2013 12:58,CRD,9,0,0.5,2.7,0,12.2
